Start,end,total time,structure,n of values
1559628553288,1559628553296,8,ArrayList,100000
1559628553296,1559628553307,11,ArrayList,200000
1559628553307,1559628553331,24,ArrayList,300000
1559628553331,1559628553344,13,ArrayList,400000
1559628553344,1559628553359,15,ArrayList,500000
1559628553359,1559628553422,63,ArrayList,600000
1559628553422,1559628553432,10,ArrayList,700000
1559628553432,1559628553440,8,ArrayList,800000
1559628553441,1559628553535,94,ArrayList,900000
1559628553535,1559628553541,6,ArrayList,1000000
