Start,end,total time,structure,n of values
1559628560442,1559628560442,0,ArrayList,100000
1559628560448,1559628560449,1,ArrayList,200000
1559628560458,1559628560458,0,ArrayList,300000
1559628560532,1559628560533,1,ArrayList,400000
1559628560537,1559628560538,1,ArrayList,500000
1559628560543,1559628560544,1,ArrayList,600000
1559628560551,1559628560552,1,ArrayList,700000
1559628560556,1559628560558,2,ArrayList,800000
1559628560567,1559628560569,2,ArrayList,900000
1559628560575,1559628560579,4,ArrayList,1000000
