Start,end,total time,structure,n of values
1559628565795,1559628565795,0,ArrayList,100000
1559628565800,1559628565800,0,ArrayList,200000
1559628565812,1559628565812,0,ArrayList,300000
1559628565818,1559628565818,0,ArrayList,400000
1559628565822,1559628565823,1,ArrayList,500000
1559628565828,1559628565828,0,ArrayList,600000
1559628566106,1559628566107,1,ArrayList,700000
1559628566112,1559628566113,1,ArrayList,800000
1559628566122,1559628566125,3,ArrayList,900000
1559628566132,1559628566134,2,ArrayList,1000000
